평균기온(℃),최고기온(℃),최저기온(℃),평균습도(%rh),강수량(mm),평균풍속(m/s),최대풍속(m/s),최대풍속풍향(deg),오 존,이산화질소,일산화탄소,아황산가스
18.1,20.1,17.1,89.0,9.0,2.2,6.2,270.0,0.012,0.036,0.4,0.006
16.1,20.8,13.4,74.3,0.0,2.9,5.9,270.0,0.025,0.021,0.6,0.005
16.9,23.0,11.6,62.0,0.0,3.4,6.0,70.0,0.019,0.024,0.4,0.004
17.1,23.2,12.5,53.1,0.0,3.1,5.7,70.0,0.032,0.016,0.2,0.004
16.6,22.6,10.5,57.0,0.0,1.7,4.1,270.0,0.023,0.028,0.3,0.005
16.1,22.5,11.6,64.8,0.0,2.4,5.6,290.0,0.019,0.038,0.4,0.006
16.7,23.6,10.0,61.5,0.0,1.5,3.5,270.0,0.016,0.052,0.5,0.005
18.6,25.4,12.4,60.4,0.0,2.0,4.3,270.0,0.027,0.048,0.5,0.006
19.0,26.3,12.5,63.3,0.0,3.6,7.1,70.0,0.021,0.041,0.5,0.005
19.4,25.6,13.6,57.4,0.0,3.1,5.3,70.0,0.026,0.028,0.3,0.004
21.2,29.0,13.9,48.5,0.0,1.9,3.6,70.0,0.021,0.036,0.4,0.005
17.4,21.7,11.0,51.9,0.0,4.7,9.0,70.0,0.024,0.02,0.2,0.004
13.8,20.0,8.5,51.8,0.0,2.2,4.4,270.0,0.017,0.031,0.3,0.005
13.8,20.0,8.9,60.4,0.0,2.4,5.5,230.0,0.02,0.043,0.5,0.006
13.2,18.0,9.3,53.8,2.5,3.1,7.2,290.0,0.02,0.043,0.4,0.006
13.6,21.2,6.6,53.8,0.0,1.9,5.9,250.0,0.02,0.046,0.5,0.006
15.5,22.5,9.4,68.9,0.0,1.7,3.7,230.0,0.01,0.057,0.6,0.007
17.0,22.7,11.2,61.0,0.0,1.7,3.9,270.0,0.019,0.051,0.6,0.007
14.4,17.1,12.9,97.8,21.5,2.6,4.9,70.0,0.008,0.047,0.6,0.005
13.8,15.7,11.9,92.8,18.5,3.4,6.1,70.0,0.01,0.035,0.4,0.005
13.6,18.7,10.4,69.0,0.0,3.0,4.6,50.0,0.015,0.03,0.3,0.005
13.8,20.6,8.5,67.8,0.0,2.1,3.9,200.0,0.012,0.046,0.5,0.006
15.1,21.0,9.9,78.0,0.0,1.8,4.4,250.0,0.012,0.052,0.6,0.007
16.5,22.2,12.9,81.1,0.0,1.9,3.9,230.0,0.015,0.047,0.6,0.007
16.0,19.9,11.6,76.9,0.5,2.8,6.4,270.0,0.021,0.027,0.4,0.006
10.7,16.9,6.1,35.3,0.0,3.0,5.3,320.0,0.022,0.027,0.3,0.005
10.2,19.4,2.7,43.4,0.0,1.4,3.5,50.0,0.007,0.06,0.6,0.006
12.1,20.8,4.9,46.4,0.0,1.7,3.6,270.0,0.004,0.084,0.8,0.007
14.2,20.8,7.7,45.8,0.0,1.5,3.2,270.0,0.004,0.098,1.1,0.008
15.0,18.2,12.8,62.1,0.2,2.4,5.2,70.0,0.01,0.068,0.8,0.007
17.3,22.9,15.1,63.4,0.0,2.2,5.0,270.0,0.018,0.04,0.5,0.006
12.0,15.4,7.1,50.5,2.5,4.8,8.7,290.0,0.033,0.017,0.4,0.006
9.3,14.8,3.8,40.9,0.0,3.1,6.9,290.0,0.019,0.025,0.3,0.006
11.3,18.5,5.4,60.5,0.0,1.9,4.0,270.0,0.007,0.051,0.6,0.007
12.4,18.4,6.4,65.6,0.0,1.9,4.3,230.0,0.012,0.051,0.6,0.007
13.5,17.7,9.5,61.0,0.5,2.1,4.5,320.0,0.015,0.044,0.5,0.008
9.8,16.5,5.1,52.5,0.0,1.9,4.2,270.0,0.012,0.042,0.5,0.006
9.9,15.1,6.9,61.9,0.0,1.4,3.6,270.0,0.003,0.058,0.7,0.006
10.0,15.5,6.3,46.3,0.0,2.3,4.7,290.0,0.017,0.039,0.5,0.006
9.4,16.5,3.5,49.9,0.0,1.7,3.9,270.0,0.011,0.063,0.9,0.007
9.4,14.5,4.6,67.4,2.0,1.9,5.3,200.0,0.009,0.068,1.0,0.008
6.0,10.0,-1.3,50.6,5.0,5.4,8.6,270.0,0.023,0.018,0.3,0.006
-0.2,4.3,-3.1,38.5,0.0,3.7,6.8,270.0,0.021,0.021,0.3,0.004
4.2,10.0,-1.4,54.0,0.0,2.2,5.9,270.0,0.013,0.039,0.5,0.006
4.1,9.5,-0.5,38.3,0.0,2.1,4.6,250.0,0.011,0.038,0.5,0.006
6.6,12.4,2.6,42.6,1.0,1.6,6.0,320.0,0.008,0.05,0.6,0.008
6.2,9.0,3.8,75.5,1.5,2.3,5.5,250.0,0.017,0.031,0.5,0.006
5.0,10.4,1.7,53.4,0.0,2.2,4.4,270.0,0.013,0.041,0.5,0.005
5.6,12.6,-0.6,55.4,0.0,1.6,3.8,270.0,0.006,0.066,0.9,0.007
7.9,14.6,2.7,61.9,0.0,1.8,3.7,290.0,0.008,0.07,1.0,0.008
11.3,16.5,5.9,62.5,0.0,2.8,5.0,230.0,0.01,0.06,0.8,0.009
11.0,12.7,8.0,90.9,4.0,1.9,4.2,270.0,0.008,0.051,0.6,0.006
9.0,12.3,6.3,80.0,0.0,2.0,4.4,90.0,0.005,0.042,0.7,0.006
9.8,13.2,8.0,59.8,0.0,1.3,3.1,50.0,0.002,0.049,0.8,0.006
10.2,15.1,6.6,56.0,0.0,4.2,8.1,70.0,0.012,0.037,0.5,0.006
11.0,16.3,8.2,58.8,0.0,2.8,5.9,70.0,0.014,0.041,0.5,0.006
10.4,14.9,6.7,69.9,0.0,1.9,3.2,50.0,0.004,0.063,0.9,0.007
8.8,10.1,6.5,88.0,18.0,3.7,6.6,70.0,0.003,0.046,0.5,0.005
8.3,12.8,5.5,83.9,0.0,2.1,4.5,270.0,0.006,0.039,0.5,0.005
9.1,11.1,7.2,88.1,7.0,3.2,4.9,70.0,0.007,0.033,0.5,0.004
-1.1,7.9,-7.2,58.8,0.5,6.1,11.1,290.0,0.02,0.017,0.3,0.004
-5.4,-2.7,-8.2,42.3,0.0,4.6,7.1,270.0,0.011,0.023,0.3,0.004
-3.3,-0.5,-6.5,70.6,0.9,1.9,4.0,320.0,0.008,0.037,0.4,0.006
-4.6,-0.2,-7.4,43.0,0.0,2.7,5.9,270.0,0.016,0.026,0.4,0.006
-6.6,-2.5,-10.1,45.5,0.0,3.6,6.7,270.0,0.016,0.026,0.4,0.007
-5.6,-0.5,-8.8,47.5,0.0,2.8,6.6,270.0,0.015,0.028,0.4,0.007
-3.4,0.2,-8.2,43.9,0.0,1.6,3.8,50.0,0.007,0.044,0.6,0.008
-1.6,2.7,-4.8,48.4,0.0,2.6,5.4,270.0,0.011,0.042,0.6,0.007
-2.4,4.1,-7.4,44.1,0.0,1.5,4.2,70.0,0.007,0.052,0.7,0.008
1.6,4.2,-1.9,58.8,2.0,1.9,4.0,70.0,0.003,0.074,1.1,0.01
-1.5,3.2,-5.2,64.8,0.5,3.4,7.0,270.0,0.012,0.034,0.6,0.007
-3.8,0.5,-7.0,70.4,0.1,2.0,3.6,290.0,0.011,0.042,0.6,0.007
-5.2,-2.0,-7.3,45.8,0.0,3.2,6.8,290.0,0.014,0.028,0.4,0.007
-3.6,0.6,-8.6,60.5,0.0,1.5,3.3,200.0,0.008,0.038,0.6,0.008
-0.1,2.0,-1.7,90.6,10.5,2.8,5.0,70.0,0.002,0.052,0.7,0.007
-4.9,1.7,-9.4,58.9,0.0,4.9,8.4,270.0,0.014,0.026,0.4,0.007
-9.0,-5.2,-11.1,41.0,0.0,4.9,9.3,270.0,0.019,0.018,0.3,0.005
-8.3,-2.2,-13.2,39.9,0.0,2.3,4.8,290.0,0.013,0.036,0.4,0.006
-3.8,0.0,-8.1,54.5,0.9,3.4,5.6,70.0,0.002,0.064,0.9,0.007
-1.7,2.1,-6.6,66.0,2.0,3.8,7.4,270.0,0.014,0.027,0.4,0.007
-6.4,-1.3,-9.0,58.5,0.0,2.2,5.5,320.0,0.012,0.024,0.4,0.006
-4.7,0.8,-9.7,64.6,0.3,2.2,5.4,290.0,0.006,0.044,0.7,0.007
-1.3,1.8,-5.7,67.1,0.0,2.6,4.1,50.0,0.003,0.066,1.1,0.009
1.7,6.4,-3.1,66.8,0.2,2.8,6.8,270.0,0.01,0.045,0.6,0.01
-2.6,1.8,-5.9,52.0,0.0,2.5,5.5,290.0,0.018,0.027,0.4,0.007
-3.2,2.5,-7.4,45.6,0.0,1.9,4.5,290.0,0.01,0.039,0.5,0.007
-1.8,5.0,-6.3,46.8,0.0,1.7,3.3,90.0,0.004,0.064,1.0,0.008
-7.7,-4.3,-9.8,41.4,0.0,4.6,6.5,320.0,0.017,0.017,0.3,0.005
-6.0,-1.9,-9.0,45.9,0.0,3.2,6.7,290.0,0.014,0.026,0.4,0.006
-2.7,3.1,-9.2,56.1,0.0,1.9,4.4,230.0,0.007,0.042,0.7,0.008
2.5,8.5,0.2,70.1,0.0,2.0,3.7,50.0,0.004,0.058,0.9,0.008
3.7,7.9,-1.1,73.1,0.4,2.4,4.4,70.0,0.003,0.068,1.1,0.01
-3.2,4.0,-7.6,52.4,3.0,4.3,7.3,290.0,0.019,0.025,0.4,0.006
-5.5,-0.6,-8.9,33.1,0.0,2.5,4.5,320.0,0.017,0.026,0.4,0.007
-5.1,-0.2,-9.5,45.8,0.0,2.2,4.8,270.0,0.01,0.043,0.6,0.007
-2.1,3.5,-6.8,58.3,0.0,2.0,4.2,290.0,0.006,0.059,0.9,0.008
-0.3,4.8,-5.6,56.5,0.0,2.3,6.3,270.0,0.009,0.047,0.6,0.009
-0.4,2.5,-4.3,57.8,0.0,3.6,6.8,250.0,0.018,0.028,0.5,0.008
-2.7,3.7,-7.3,37.8,0.0,1.8,4.7,340.0,0.009,0.046,0.6,0.007
0.2,5.8,-5.1,39.6,0.0,1.8,3.4,70.0,0.003,0.069,1.0,0.008
2.5,6.1,-0.3,41.1,0.0,1.5,3.4,250.0,0.003,0.073,1.2,0.009
2.8,9.0,-1.1,53.6,0.0,2.1,4.7,270.0,0.007,0.056,0.8,0.008
0.8,3.4,-2.5,73.0,0.3,4.0,7.4,270.0,0.013,0.034,0.8,0.006
-4.1,0.0,-7.7,46.0,0.0,3.8,7.7,270.0,0.018,0.015,0.4,0.005
-1.3,2.1,-6.5,68.4,4.0,2.3,4.9,180.0,0.009,0.0293535655058043,0.6,0.006
-0.1,3.1,-4.0,68.1,0.1,3.2,5.9,250.0,0.015,0.032,0.6,0.006
-0.9,4.4,-6.4,55.8,0.0,1.9,3.9,50.0,0.005,0.051,0.8,0.006
2.6,6.5,-1.2,58.3,0.0,2.0,3.7,70.0,0.003,0.061,1.1,0.008
3.1,7.1,0.8,60.6,0.0,1.5,3.1,70.0,0.008,0.047,0.7,0.006
1.2,4.9,-1.6,66.4,0.0,2.6,5.2,230.0,0.008,0.047,0.9,0.007
3.7,8.4,0.8,62.9,0.0,1.8,4.4,290.0,0.009,0.051,0.6,0.009
3.0,5.0,1.1,78.4,3.0,3.5,5.2,70.0,0.002,0.052,0.8,0.007
3.6,6.5,0.2,87.5,0.5,2.6,6.1,270.0,0.012,0.036,0.6,0.006
-3.6,0.5,-7.4,55.4,0.0,3.7,6.2,270.0,0.019,0.022,0.3,0.005
-4.1,2.7,-9.1,49.3,0.0,2.3,5.0,320.0,0.012,0.034,0.5,0.005
-1.1,3.0,-4.6,56.4,0.0,2.3,5.0,270.0,0.004,0.048,0.8,0.006
-3.3,0.8,-7.0,51.8,0.0,3.8,7.1,320.0,0.019,0.025,0.5,0.006
-4.5,0.8,-8.5,46.4,0.0,2.6,4.5,270.0,0.016,0.03,0.5,0.006
-3.0,3.6,-8.2,44.9,0.0,1.9,4.3,230.0,0.014,0.034,0.5,0.006
-0.6,6.4,-5.3,47.3,0.0,1.5,3.7,270.0,0.007,0.054,0.8,0.007
0.6,7.2,-3.5,54.5,0.0,2.1,4.3,270.0,0.005,0.066,1.0,0.008
0.4,5.8,-3.1,64.5,0.0,2.0,5.1,340.0,0.011,0.057,1.1,0.01
-0.1,4.8,-3.8,57.1,0.0,3.0,5.7,250.0,0.021,0.041,0.8,0.011
0.4,6.5,-4.3,57.3,0.0,2.2,4.9,230.0,0.012,0.049,0.7,0.008
1.2,5.7,-2.7,65.3,0.0,2.6,7.0,270.0,0.013,0.046,0.7,0.008
-9.8,-2.8,-11.9,34.1,0.0,5.3,8.0,290.0,0.024,0.014,0.3,0.004
-5.7,-0.1,-13.0,54.6,0.2,3.1,7.6,250.0,0.015,0.031,0.5,0.006
1.7,5.8,-2.0,69.0,0.0,2.8,6.3,270.0,0.011,0.05,0.9,0.012
2.7,8.0,-0.8,60.3,0.0,2.5,5.0,250.0,0.011,0.055,0.9,0.009
-2.2,1.6,-4.7,36.8,0.0,4.2,8.1,290.0,0.023,0.027,0.4,0.006
-1.6,4.0,-6.4,46.4,0.0,3.1,6.6,290.0,0.02,0.035,0.4,0.006
2.0,6.6,-3.1,72.9,0.0,2.2,5.2,230.0,0.014,0.049,0.6,0.007
7.9,13.0,3.2,61.6,0.0,2.9,5.1,70.0,0.018,0.051,0.7,0.008
5.0,7.9,4.1,91.9,10.5,3.5,5.8,70.0,0.014,0.045,0.6,0.006
1.9,4.1,0.5,78.5,0.5,3.5,5.4,290.0,0.022,0.028,0.7,0.006
0.8,3.3,-1.5,72.0,0.0,2.5,4.2,270.0,0.024,0.027,0.7,0.006
2.2,8.6,-2.7,67.1,0.0,1.6,5.0,290.0,0.016,0.039,0.7,0.006
5.2,11.4,-1.3,55.3,0.0,2.0,3.3,50.0,0.018,0.044,0.8,0.006
5.7,6.7,4.8,79.0,8.0,3.4,5.6,70.0,0.011,0.042,0.5,0.005
3.5,7.0,-0.7,78.0,2.5,4.1,7.3,250.0,0.018,0.024,0.5,0.005
0.9,5.9,-2.4,60.4,0.0,3.0,5.1,250.0,0.019,0.025,0.5,0.005
2.1,7.5,-1.1,60.0,0.0,2.3,4.3,250.0,0.017,0.036,0.6,0.006
5.4,12.5,0.2,48.6,0.5,2.9,6.2,230.0,0.016,0.043,0.6,0.007
1.2,4.7,-3.5,56.9,0.5,4.9,8.5,270.0,0.028,0.019,0.4,0.005
-1.3,4.8,-5.6,35.6,0.0,3.2,6.8,290.0,0.023,0.023,0.4,0.005
2.7,6.4,-2.0,40.5,0.0,2.0,3.9,70.0,0.009,0.05,0.6,0.006
2.4,5.9,-0.2,56.8,0.0,3.7,7.1,250.0,0.023,0.025,0.5,0.006
3.9,9.7,-1.9,43.5,0.0,2.8,6.1,230.0,0.017,0.039,0.6,0.007
2.8,6.7,-1.3,69.5,5.5,3.4,7.4,290.0,0.023,0.035,0.5,0.006
-2.1,1.4,-4.6,43.4,0.0,5.3,9.1,270.0,0.027,0.02,0.4,0.004
-0.3,5.5,-5.4,41.1,0.0,1.9,4.0,340.0,0.017,0.04,0.5,0.005
2.9,10.4,-3.2,37.8,0.0,2.3,4.4,250.0,0.009,0.061,0.8,0.006
4.2,11.0,-2.3,45.5,0.0,2.3,5.3,270.0,0.014,0.058,0.7,0.007
7.7,15.1,0.4,42.5,0.0,1.8,4.4,290.0,0.021,0.059,0.8,0.009
2.2,8.2,-5.4,43.4,0.0,5.4,9.1,270.0,0.028,0.029,0.5,0.007
-3.4,1.0,-6.9,30.6,0.0,5.9,9.1,290.0,0.027,0.017,0.3,0.004
0.4,7.5,-5.1,45.1,0.0,4.5,8.7,250.0,0.025,0.03,0.4,0.007
2.1,6.7,-3.5,41.0,0.0,4.0,7.3,250.0,0.025,0.03,0.3,0.007
5.6,11.0,1.8,45.4,0.1,3.0,6.3,290.0,0.024,0.036,0.4,0.006
4.3,11.6,-1.2,31.4,0.0,2.3,6.6,270.0,0.022,0.04,0.4,0.006
5.5,12.5,0.0,42.0,0.0,2.2,5.4,250.0,0.018,0.051,0.6,0.009
9.8,18.6,1.3,44.4,0.0,2.0,4.1,270.0,0.016,0.07,0.8,0.009
10.7,16.1,6.9,51.9,0.0,1.8,4.6,320.0,0.008,0.089,1.0,0.012
10.7,14.4,8.4,61.5,1.5,4.0,6.7,70.0,0.014,0.055,0.7,0.007
12.4,21.0,6.5,50.9,0.0,2.5,7.1,270.0,0.017,0.053,0.6,0.007
13.4,21.9,7.6,32.5,0.0,2.5,6.1,270.0,0.014,0.064,0.6,0.008
11.7,17.8,6.9,31.0,0.0,2.7,6.5,230.0,0.029,0.059,0.7,0.016
8.3,14.9,2.2,33.3,0.0,4.2,8.1,290.0,0.021,0.038,0.5056846473029046,0.008
4.6,10.1,0.0,24.3,0.0,4.2,8.5,270.0,0.028,0.025,0.5056846473029046,0.006
5.4,12.4,-0.9,32.8,0.0,2.6,5.7,250.0,0.02,0.04,0.3,0.006
6.5,14.2,0.1,45.9,0.0,2.5,5.6,270.0,0.019,0.046,0.5,0.007
7.9,14.8,1.6,47.5,0.0,3.1,7.2,270.0,0.016,0.055,0.5,0.009
9.1,16.2,3.2,50.5,0.0,2.6,6.0,250.0,0.018,0.055,0.3,0.009
9.7,17.0,2.5,35.0,0.0,2.8,5.2,290.0,0.025,0.052,0.3,0.009
10.5,16.5,7.0,61.9,0.0,2.5,5.3,250.0,0.028,0.033,0.1,0.007
13.2,20.8,5.9,57.4,0.0,2.6,6.6,230.0,0.023,0.055,0.6,0.007
12.9,14.9,10.0,80.6,2.5,2.2,3.9,90.0,0.018,0.058,0.7,0.008
12.9,17.6,10.0,67.9,2.5,4.1,7.8,70.0,0.02,0.034,0.4,0.005
14.8,21.8,8.5,70.5,28.0,5.0,10.4,230.0,0.024,0.024,0.3,0.005
10.6,15.1,6.9,83.4,3.5,2.8,8.8,230.0,0.012,0.039,0.5,0.005
13.5,18.5,8.9,48.0,0.0,4.3,6.9,70.0,0.025,0.031,0.2,0.005
10.5,12.2,10.1,75.1,0.5,2.5,5.4,90.0,0.016,0.033,0.1,0.004
10.3,15.4,6.9,55.8,0.0,2.7,6.3,290.0,0.02,0.031,0.2,0.004
8.4,12.2,5.5,59.5,0.0,2.6,6.2,290.0,0.019,0.03,0.1,0.004
8.3,13.7,3.5,52.5,0.0,2.9,4.9,270.0,0.021,0.035,0.2,0.005
9.6,16.3,3.8,43.0,0.0,2.3,5.6,230.0,0.019,0.057,0.4,0.007
11.6,19.2,4.6,40.5,0.0,2.8,6.2,270.0,0.03,0.045,0.6,0.007
13.5,20.7,6.7,39.3,0.0,2.5,5.7,270.0,0.025,0.053,0.6,0.008
14.9,20.4,9.1,30.6,0.0,2.9,6.8,70.0,0.033,0.038,0.5,0.007
12.0,17.6,7.4,53.9,6.5,5.9,8.7,70.0,0.043,0.02,0.3,0.005
6.9,8.0,5.8,89.9,10.5,2.7,4.8,70.0,0.03,0.032,0.5,0.005
11.1,17.0,5.6,72.0,1.0,2.9,5.7,230.0,0.036,0.03,0.6,0.006
9.9,14.8,6.9,69.5,7.0,3.6,8.3,230.0,0.034,0.031,0.5,0.007
10.5,16.1,4.8,45.4,0.0,3.7,8.7,250.0,0.028,0.032,0.4,0.006
15.2,23.7,5.2,31.9,0.0,1.9,4.2,50.0,0.012,0.064,0.7,0.008
14.5,17.3,11.2,74.8,12.0,3.7,6.3,70.0,0.02,0.038,0.5,0.006
12.2,16.8,10.3,75.3,5.5,3.2,5.7,50.0,0.026,0.035,0.4,0.005
14.0,20.9,7.7,46.0,0.0,2.9,6.0,230.0,0.025,0.043,0.5,0.008
14.2,20.7,9.3,47.0,0.0,3.0,6.4,250.0,0.04,0.038,0.6,0.009
14.5,20.1,8.0,41.1,0.0,3.5,7.0,250.0,0.036,0.036,0.5,0.008
15.7,22.8,10.4,38.3,0.0,3.2,6.8,270.0,0.043,0.035,0.5,0.008
15.9,23.0,9.2,31.3,0.0,2.7,6.2,230.0,0.025,0.041,0.4,0.008
17.3,24.4,9.9,37.6,0.0,3.3,6.8,230.0,0.043,0.034,0.5,0.01
18.5,24.9,12.7,39.3,0.0,2.8,6.8,250.0,0.046,0.036,0.5,0.01
20.3,26.9,12.3,38.6,0.0,2.1,5.8,230.0,0.019,0.057,0.5,0.008
17.0,18.4,15.8,77.0,3.5,2.9,5.6,70.0,0.014,0.039,0.5,0.006
21.2,28.3,15.1,56.6,0.0,2.2,4.9,270.0,0.022,0.042,0.5,0.006
21.0,27.2,15.9,58.8,0.0,2.5,5.6,270.0,0.026,0.041,0.5,0.009
20.7,26.0,15.8,64.4,0.5,2.1,4.9,270.0,0.025,0.039,0.4,0.007
18.3,19.6,17.1,90.4,3.5,2.1,4.2,50.0,0.017,0.023,0.3,0.005
16.1,20.1,12.5,45.9,0.0,4.2,7.9,290.0,0.023,0.02,0.3,0.005
14.2,19.9,8.3,37.9,0.0,3.4,6.4,230.0,0.033,0.022,0.5056846473029046,0.006
15.4,22.0,9.8,36.3,0.0,2.4,5.2,230.0,0.032,0.036,0.4,0.007
16.5,24.0,10.6,35.6,0.0,2.6,8.0,270.0,0.023,0.048,0.5,0.007
16.7,22.7,11.7,64.3,0.0,2.5,5.7,250.0,0.027,0.038,0.4,0.008
17.6,24.0,12.6,55.0,0.0,3.0,5.3,270.0,0.034,0.029,0.4,0.007
19.1,25.9,13.5,39.6,0.0,2.3,4.8,250.0,0.027,0.03,0.4,0.006
18.4,24.1,14.4,62.1,14.0,3.0,6.0,110.0,0.027,0.031,0.4,0.006
13.3,17.5,10.3,75.9,9.5,6.4,11.1,230.0,0.038,0.014,0.4,0.006
17.4,21.4,11.8,56.9,0.0,5.3,10.0,230.0,0.049,0.021,0.4,0.007
20.4,26.6,15.3,63.8,0.0,3.3,6.5,250.0,0.044,0.025,0.4,0.006
19.1,23.7,16.3,71.0,0.0,2.7,4.6,270.0,0.032,0.035,0.5,0.006
