,코드번호,지역이름,날짜,최저기온,최고기온,평균기온,평균강수량,평균풍향,평균풍속,최대풍속,평균습도
34,1159051000,동작구,2024-07-04,23℃,28℃,24.75,0.0,남서풍,1.83,3,84.17
35,1159051000,동작구,2024-07-05,23℃,29℃,25.5,0.0,남서풍,1.46,2,86.25
36,1144056500,마포구,2024-07-03,23℃,27℃,24.79,0.5,남서풍,3.0,4,81.67
37,1144056500,마포구,2024-07-04,22℃,28℃,24.79,0.0,남서풍,1.79,3,84.38
38,1144056500,마포구,2024-07-05,23℃,29℃,25.5,0.0,남서풍,1.42,2,85.83
39,1141069000,서대문구,2024-07-03,23℃,27℃,24.5,0.5,남서풍,3.12,5,82.71
40,1141069000,서대문구,2024-07-04,22℃,28℃,24.67,0.0,남서풍,1.75,3,84.79
41,1141069000,서대문구,2024-07-05,23℃,29℃,25.29,0.0,남서풍,1.46,2,85.42
42,1165066000,서초구,2024-07-03,23℃,28℃,24.96,0.46,남서풍,3.0,5,83.54
43,1165066000,서초구,2024-07-04,22℃,29℃,24.83,0.0,남서풍,2.0,3,85.42
44,1165066000,서초구,2024-07-05,22℃,30℃,25.38,0.0,남서풍,1.42,2,87.71
45,1120059000,성동구,2024-07-03,23℃,29℃,25.5,0.5,남서풍,3.0,4,80.42
46,1120059000,성동구,2024-07-04,22℃,29℃,25.58,0.0,남서풍,1.79,3,82.29
47,1120059000,성동구,2024-07-05,23℃,30℃,26.33,0.0,남서풍,1.38,2,83.75
48,1129066000,성복구,2024-07-03,23℃,28℃,25.17,0.5,남서풍,2.96,4,81.67
49,1129066000,성복구,2024-07-04,23℃,28℃,24.96,0.0,남서풍,1.75,3,82.08
50,1129066000,성복구,2024-07-05,23℃,29℃,25.75,0.0,남서풍,1.46,2,82.92
51,1171063100,송파구,2024-07-03,23℃,29℃,25.46,0.38,남서풍,3.0,4,79.38
52,1171063100,송파구,2024-07-04,23℃,29℃,25.5,0.0,남서풍,2.0,3,81.04
53,1171063100,송파구,2024-07-05,23℃,30℃,26.12,0.0,남서풍,1.42,2,83.12
54,1147051000,양천구,2024-07-03,23℃,27℃,24.88,0.5,남서풍,3.25,5,81.25
55,1147051000,양천구,2024-07-04,23℃,28℃,24.75,0.0,남서풍,1.75,3,83.33
56,1147051000,양천구,2024-07-05,23℃,29℃,25.5,0.0,남서풍,1.42,2,85.83
57,1156055000,영등포구,2024-07-03,23℃,27℃,24.88,0.5,남서풍,3.25,5,81.25
58,1156055000,영등포구,2024-07-04,23℃,28℃,24.75,0.0,남서풍,1.75,3,83.33
59,1156055000,영등포구,2024-07-05,23℃,29℃,25.5,0.0,남서풍,1.42,2,85.83
60,1117053000,용산구,2024-07-03,23℃,27℃,24.79,0.5,남서풍,3.0,4,81.67
61,1117053000,용산구,2024-07-04,22℃,28℃,24.79,0.0,남서풍,1.79,3,84.38
62,1117053000,용산구,2024-07-05,23℃,29℃,25.5,0.0,남서풍,1.42,2,85.83
63,1138055100,은평구,2024-07-03,23℃,27℃,24.38,0.54,남서풍,2.96,4,84.79
64,1138055100,은평구,2024-07-04,22℃,28℃,24.29,0.0,남동풍,1.71,3,86.88
65,1138055100,은평구,2024-07-05,22℃,29℃,25.12,0.0,남서풍,1.42,2,87.08
66,1111060000,종로구,2024-07-03,23℃,27℃,24.71,0.54,남서풍,2.88,4,82.71
67,1111060000,종로구,2024-07-04,22℃,28℃,24.75,0.0,남서풍,1.71,3,83.75
68,1111060000,종로구,2024-07-05,23℃,29℃,25.46,0.0,남서풍,1.38,2,85.42
69,1114059000,중구,2024-07-03,23℃,27℃,24.71,0.54,남서풍,2.88,4,82.71
70,1114059000,중구,2024-07-04,22℃,28℃,24.75,0.0,남서풍,1.71,3,83.75
71,1114059000,중구,2024-07-05,23℃,29℃,25.46,0.0,남서풍,1.38,2,85.42
72,1126065500,중랑구,2024-07-03,23℃,28℃,25.12,0.62,남서풍,3.04,4,80.21
73,1126065500,중랑구,2024-07-04,23℃,28℃,25.04,0.0,남서풍,1.71,3,81.67
74,1126065500,중랑구,2024-07-05,23℃,29℃,25.62,0.0,남서풍,1.42,2,81.88
