"CODE","NAME","FDATE","TEMP_MIN","TEMP_MAX","TEMP_AVG","RAIN_AVG","WIND_AVG","WIND_DEG","WIND_MAX","HUM_AVG","RAINP_AM","RAINP_PM","PRED_OZ","PRED_NO2","PRED_CO","PRED_SO","PRED_PM10","PRED_PM25"
1171063100,"¼ÛÆÄ±¸","2024-07-17",24,31,26,1,3,"³²¼­Ç³",4,87,"60%","60%",0.034,0.009,0.3,0.004,0,1
1171063100,"¼ÛÆÄ±¸","2024-07-18",24,28,26,0,3,"³²¼­Ç³",4,88,"60%","70%",0.028,0.013,0.3,0.004,0,0
1147051000,"¾çÃµ±¸","2024-07-16",26,32,26,1,3,"³²µ¿Ç³",3,79,"0%","60%",0.025,0.015,0.3,0.004,0,0
1147051000,"¾çÃµ±¸","2024-07-17",24,30,25,2,3,"³²¼­Ç³",4,88,"30%","60%",0.036,0.014,0.3,0.004,1,1
1147051000,"¾çÃµ±¸","2024-07-18",24,27,25,0,3,"³²¼­Ç³",4,90,"60%","70%",0.029,0.014,0.3,0.003,0,1
1156055000,"¿µµîÆ÷±¸","2024-07-16",26,32,26,1,3,"³²µ¿Ç³",3,79,"0%","60%",0.025,0.015,0.3,0.004,0,0
1156055000,"¿µµîÆ÷±¸","2024-07-17",24,30,25,2,3,"³²¼­Ç³",4,88,"30%","60%",0.036,0.014,0.3,0.004,1,1
1156055000,"¿µµîÆ÷±¸","2024-07-18",24,27,25,0,3,"³²¼­Ç³",4,90,"60%","70%",0.029,0.014,0.3,0.003,0,1
1117053000,"¿ë»ê±¸","2024-07-16",25,31,26,1,2,"³²µ¿Ç³",3,81,"0%","60%",0.028,0.014,0.3,0.003,0,0
1117053000,"¿ë»ê±¸","2024-07-17",24,30,26,2,3,"³²¼­Ç³",4,89,"60%","60%",0.033,0.011,0.3,0.003,0,1
1117053000,"¿ë»ê±¸","2024-07-18",24,27,25,0,3,"³²¼­Ç³",4,91,"60%","70%",0.027,0.015,0.3,0.003,0,0
1138055100,"ÀºÆò±¸","2024-07-16",25,32,26,1,3,"³²µ¿Ç³",3,80,"0%","60%",0.026,0.015,0.3,0.003,0,0
1138055100,"ÀºÆò±¸","2024-07-17",24,31,25,2,3,"³²¼­Ç³",4,90,"30%","60%",0.036,0.01,0.3,0.003,0,1
1138055100,"ÀºÆò±¸","2024-07-18",24,27,25,0,2,"³²¼­Ç³",4,91,"60%","70%",0.025,0.016,0.3,0.003,0,0
1111060000,"Á¾·Î±¸","2024-07-16",25,31,26,1,2,"³²µ¿Ç³",3,80,"0%","60%",0.027,0.014,0.3,0.004,0,0
1111060000,"Á¾·Î±¸","2024-07-17",24,30,25,2,3,"³²¼­Ç³",4,88,"60%","60%",0.033,0.012,0.3,0.003,0,1
1111060000,"Á¾·Î±¸","2024-07-18",24,27,25,0,3,"³²¼­Ç³",4,91,"60%","70%",0.026,0.015,0.3,0.003,0,0
1114059000,"Áß±¸","2024-07-16",25,31,26,1,2,"³²µ¿Ç³",3,80,"0%","60%",0.027,0.014,0.3,0.004,0,0
1114059000,"Áß±¸","2024-07-17",24,30,25,2,3,"³²¼­Ç³",4,88,"60%","60%",0.033,0.012,0.3,0.003,0,1
1114059000,"Áß±¸","2024-07-18",24,27,25,0,3,"³²¼­Ç³",4,91,"60%","70%",0.026,0.015,0.3,0.003,0,0
1126065500,"Áß¶û±¸","2024-07-16",25,31,26,1,2,"³²µ¿Ç³",3,79,"0%","60%",0.025,0.015,0.4,0.003,0,0
1126065500,"Áß¶û±¸","2024-07-17",24,31,26,2,3,"³²¼­Ç³",4,87,"60%","60%",0.034,0.01,0.3,0.004,0,1
1126065500,"Áß¶û±¸","2024-07-18",24,28,25,0,3,"³²¼­Ç³",4,89,"60%","80%",0.027,0.014,0.3,0.003,0,0
